Movie_id, Gross Revenue, Budget, Language, Genre, Country
[110687, 777530, 1305000, 2, 2, 1]
[110687, 771027, 1305000, 2, 2, 1]
[110687, 757652, 1305000, 2, 2, 1]
[110687, 736310, 1305000, 2, 2, 1]
[110687, 711431, 1305000, 2, 2, 1]
[110687, 684329, 1305000, 2, 2, 1]
[110687, 635236, 1305000, 2, 2, 1]
[110687, 576228, 1305000, 2, 2, 1]
[110687, 507202, 1305000, 2, 2, 1]
[110687, 419599, 1305000, 2, 2, 1]
[110687, 324699, 1305000, 2, 2, 1]
[110687, 241678, 1305000, 2, 2, 1]
[110687, 170081, 1305000, 2, 2, 1]
[110687, 145060, 1305000, 2, 2, 1]
[110687, 117827, 1305000, 2, 2, 1]
[110687, 92089, 1305000, 2, 2, 1]
[110687, 44653, 1305000, 2, 2, 1]
[110687, 15477, 1305000, 2, 2, 1]
[110687, 804963, 1305000, 2, 2, 1]
[621290, 1300000, 500000, 1, 1, 1]
[758216, 1545000000, 350000000, 1, 1, 1]
[2527627, 2176489, 866898, 2, 3, 1]
[2527845, 2169000, 2677762, 1, 6, 1]
[2527845, 3150000, 2677762, 1, 6, 1]
[2527845, 981000, 2677762, 1, 6, 1]
[2528083, 3478370, 10000000, 1, 2, 1]
[2528083, 3344136, 10000000, 1, 2, 1]
[2528083, 3023616, 10000000, 1, 2, 1]
[2528083, 2403090, 10000000, 1, 2, 1]
[2528083, 1315445, 10000000, 1, 2, 1]
[2528218, 32391374, 7500000, 3, 3, 1]
[2528218, 32374303, 7500000, 3, 3, 1]
[2528218, 32343342, 7500000, 3, 3, 1]
[2528218, 32252887, 7500000, 3, 3, 1]
[2528218, 32203940, 7500000, 3, 3, 1]
[2528218, 32118648, 7500000, 3, 3, 1]
[2528218, 31969002, 7500000, 3, 3, 1]
[2528218, 31663608, 7500000, 3, 3, 1]
[2528218, 31041803, 7500000, 3, 3, 1]
[2528218, 30001366, 7500000, 3, 3, 1]
[2528218, 28449326, 7500000, 3, 3, 1]
[2528218, 25203886, 7500000, 3, 3, 1]
[2528218, 17897509, 7500000, 3, 3, 1]
[2528218, 12357265, 7500000, 3, 3, 1]
[2528218, 6847506, 7500000, 3, 3, 1]
[2528218, 3009526, 7500000, 3, 3, 1]
[2528218, 834501, 7500000, 3, 3, 1]
[2528218, 60722734, 7500000, 3, 3, 1]
[2528643, 123843, 400000, 2, 1, 1]
[2528643, 126387, 400000, 2, 1, 1]
[2528643, 122523, 400000, 2, 1, 1]
[2528643, 122038, 400000, 2, 1, 1]
[2528643, 119741, 400000, 2, 1, 1]
[2528643, 119095, 400000, 2, 1, 1]
[2528643, 117424, 400000, 2, 1, 1]
[2528643, 116516, 400000, 2, 1, 1]
[2528643, 115120, 400000, 2, 1, 1]
[2528643, 113795, 400000, 2, 1, 1]
[2529513, 63377186, 15000000, 1, 5, 1]
[2529513, 55950951, 15000000, 1, 5, 1]
[2529513, 45183178, 15000000, 1, 5, 1]
[2529513, 24702752, 15000000, 1, 5, 1]
[2529521, 14616, 12000000, 1, 1, 1]
[2529685, 223517, 100000, 1, 1, 1]
[2529685, 209574, 100000, 1, 1, 1]
[2529685, 206394, 100000, 1, 1, 1]
[2529685, 203728, 100000, 1, 1, 1]
[2529685, 200586, 100000, 1, 1, 1]
[2529685, 191178, 100000, 1, 1, 1]
[2529685, 171149, 100000, 1, 1, 1]
[2529685, 156335, 100000, 1, 1, 1]
[2529685, 136069, 100000, 1, 1, 1]
[2529724, 38176108, 16000000, 2, 3, 1]
[2529724, 38157265, 16000000, 2, 3, 1]
[2529724, 38118059, 16000000, 2, 3, 1]
[2529724, 38048279, 16000000, 2, 3, 1]
[2529724, 37924768, 16000000, 2, 3, 1]
[2529724, 37741141, 16000000, 2, 3, 1]
[2529724, 37484850, 16000000, 2, 3, 1]
[2529724, 37178640, 16000000, 2, 3, 1]
[2529724, 36809588, 16000000, 2, 3, 1]
[2529724, 36496025, 16000000, 2, 3, 1]
[2529724, 36392238, 16000000, 2, 3, 1]
[2529724, 36195772, 16000000, 2, 3, 1]
[2529724, 35691916, 16000000, 2, 3, 1]
[2529724, 35247192, 16000000, 2, 3, 1]
[2529724, 34596955, 16000000, 2, 3, 1]
[2529724, 33824656, 16000000, 2, 3, 1]
[2529724, 32639900, 16000000, 2, 3, 1]
[2529724, 31135950, 16000000, 2, 3, 1]
[2529724, 28771494, 16000000, 2, 3, 1]
[2529724, 25136802, 16000000, 2, 3, 1]
[2529724, 20431363, 16000000, 2, 3, 1]
[2529724, 11521216, 16000000, 2, 3, 1]
[2529731, 7100000, 4520000, 1, 3, 1]
[2529780, 94784201, 105000000, 1, 5, 2]
[2529780, 94770548, 105000000, 1, 5, 2]
[2529780, 94720062, 105000000, 1, 5, 2]
[2529780, 94647446, 105000000, 1, 5, 2]
[2529780, 94549440, 105000000, 1, 5, 2]
[2529780, 94344025, 105000000, 1, 5, 2]
[2529780, 94042448, 105000000, 1, 5, 2]
[2529780, 93644301, 105000000, 1, 5, 2]
[2529780, 93393999, 105000000, 1, 5, 2]
[2529780, 92826810, 105000000, 1, 5, 2]
[2529780, 91753844, 105000000, 1, 5, 2]
[2529780, 89349915, 105000000, 1, 5, 2]
[2529780, 84992525, 105000000, 1, 5, 2]
[2529780, 76401302, 105000000, 1, 5, 2]
[2529780, 61577423, 105000000, 1, 5, 2]
[2529780, 35867488, 105000000, 1, 5, 2]
[2529780, 269784201, 105000000, 1, 5, 2]
[2529893, 481671, 10000000, 1, 3, 1]
[2530359, 136182161, 54000000, 2, 3, 1]
[2530359, 136122030, 54000000, 2, 3, 1]
[2530359, 136012978, 54000000, 2, 3, 1]
[2530359, 135848836, 54000000, 2, 3, 1]
[2530359, 135539139, 54000000, 2, 3, 1]
